Name,Brand,Price,Currency,Links,IMG,Country,Scraped_at 
Whitening,Opalescence,76,Kč,https://www.notino.cz/opalescence/original-formula-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//opalescence/883205029492_01-o__160127.jpg,Czechia,2024-06-13 11:53:45.643085
Extreme Whitening,Swissdent,297,Kč,https://www.notino.cz/swissdent/extreme-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190037_01-o__121205.jpg,Czechia,2024-06-13 11:53:45.643085
Whitening Sensitivity Relief,Opalescence,81,Kč,https://www.notino.cz/opalescence/sensitivity-relief-belici-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//opalescence/883205029430_01-o__160513.jpg,Czechia,2024-06-13 11:53:45.643085
Caries Protection Kids,Elmex,86,Kč,https://www.notino.cz/elmex/caries-protection-kids-zubni-pasta-pro-deti-73190/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg,Czechia,2024-06-13 11:53:45.643085
Professional White Plus,Splat,100,Kč,https://www.notino.cz/splat/professional-white-plus-bioaktivni-zubni-pasta-pro-setrne-beleni-a-ochranu-zubni-skloviny/,https://cdn.notinoimg.com/list_2k//splat/7640168930134_01-o__220908.jpg,Czechia,2024-06-13 11:53:45.643085
Tooth Mousse,GC,461,Kč,https://www.notino.cz/gc/tooth-mousse-tutti-frutti-remineralizacni-ochranny-krem-pro-citlive-zuby-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//gc/2800011949248_01-o__160324.jpg,Czechia,2024-06-13 11:53:45.643085
Extra Whitening,Sensodyne,86,Kč,https://www.notino.cz/sensodyne/extra-whitening-belici-zubni-pasta-s-fluoridem-pro-citlive-zuby-394207/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563039774_01-o__180406.jpg,Czechia,2024-06-13 11:53:45.643085
Junior 6-12 Years,Elmex,86,Kč,https://www.notino.cz/elmex/junior-6-12-years-zubni-pasta-pro-deti-73188/,https://cdn.notinoimg.com/list_2k//elmex/9003096004991_01-o__140313.jpg,Czechia,2024-06-13 11:53:45.643085
Professional Biocalcium,Splat,94,Kč,https://www.notino.cz/splat/professional-biocalcium-bioaktivni-zubni-pasta-pro-obnovu-zubni-skloviny-a-setrne-beleni/,https://cdn.notinoimg.com/list_2k//splat/7640168930059_01-o__220908.jpg,Czechia,2024-06-13 11:53:45.643085
Professional Choice,White Glo,18,Kč,https://www.notino.cz/white-glo/professional-choice-belici-zubni-pasta-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000189_01-o__210524.jpg,Czechia,2024-06-13 11:53:45.643085
Caries Protection,Elmex,110,Kč,https://www.notino.cz/elmex/caries-protection-zubni-pasta-chranici-pred-zubnim-kazem-s-fluoridem-73186/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg,Czechia,2024-06-13 11:53:45.643085
Mintperfekt Activ,Ziaja,49,Kč,https://www.notino.cz/ziaja/mintperfekt-activ-remineralizujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ziaja/5901887039921-o__170327.jpg,Czechia,2024-06-13 11:53:45.643085
Natural,Jack N’ Jill,134,Kč,https://www.notino.cz/jack-n-jill/natural-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657009017_01-o__230602.jpg,Czechia,2024-06-13 11:53:45.643085
Original White,G.U.M,89,Kč,https://www.notino.cz/gum/original-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//gum/gumorwu_ktps10__131106.jpg,Czechia,2024-06-13 11:53:45.643085
Sensitive Whitening,Elmex,110,Kč,https://www.notino.cz/elmex/sensitive-whitening-pasta-pro-prirozene-bile-zuby-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg,Czechia,2024-06-13 11:53:45.643085
Kids 0-6,Biorepair,70,Kč,https://www.notino.cz/biorepair/junior-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg,Czechia,2024-06-13 11:53:45.643085
Be You,Curaprox,245,Kč,https://www.notino.cz/curaprox/be-you-rising-star-regeneracni-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429503_01-o__220225.jpg,Czechia,2024-06-13 11:53:45.643085
Gum Protection,Meridol,63,Kč,https://www.notino.cz/meridol/meridol-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//meridol/8718951459885_01-o__220524.jpg,Czechia,2024-06-13 11:53:45.643085
Whitening,MEDIBLANC,193,Kč,https://www.notino.cz/mediblanc/whitening-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275386502-o__221107.jpg,Czechia,2024-06-13 11:53:45.643085
Natural Siberian Siberian Pearl,Natura Siberica,79,Kč,https://www.notino.cz/natura-siberica/natural-siberian-siberian-pearl-belici-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437548_01-o__190611.jpg,Czechia,2024-06-13 11:53:45.643085
Triple Action Original Mint,Colgate,32,Kč,https://www.notino.cz/colgate/triple-action-duopack-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/6920354835971_01-o__230810.jpg,Czechia,2024-06-13 11:53:45.643085
Expert Black Whitening,Ecodenta,130,Kč,https://www.notino.cz/ecodenta/extra-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg,Czechia,2024-06-13 11:53:45.643085
Dental Care,Weleda,111,Kč,https://www.notino.cz/weleda/dental-care-detsky-zubni-gel/,https://cdn.notinoimg.com/list_2k//weleda/4001638081863_01-o__121109.jpg,Czechia,2024-06-13 11:53:45.643085
Travel Set,Curaprox,261,Kč,https://www.notino.cz/curaprox/travel-set-cestovni-setna-zuby-jazyk-a-dasne/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429916_01-o__220520.jpg,Czechia,2024-06-13 11:53:45.643085
